cluster,description
64," Name: Prof. Dr. Johann Müller
Fachgebiet: Künstliche Intelligenz und Maschinelles Lernen, Wirtschaftsinformatik
Persönliches Statement: Als Wissenschaftler habe ich mich seit über zwei Jahrzehnten in der Entwicklung und Anwendung von Maschinellen Lernsystemen spezialisiert. Ich bin weltweit bekannt für meine Forschungen auf dem Gebiet der industriellen Anwendungen von KI und ML, insbesondere in der Wirtschaft. Mein persönliches Ziel ist es, Unternehmen zu unterstützen, ihre Geschäftsprozesse durch die Verwendung intelligenter Technologien effizienter und innovativer zu gestalten. Ich bin davon überzeugt, dass ML-Technologien erhebliche Chancen für Wirtschaft und Gesellschaft bieten und ich freue mich sehr darauf, an ihrer Entwicklung mitzuwirken."
45," Name: Dr. Max Mustermann
Fachgebiet: Wirtschaftsinformatik mit Schwerpunkt Enterprise Resource Planning (ERP)
Persönliches Statement: Ich habe während meiner akademischen Laufbahn auf dem Feld der ERP-Systeme in KMU eine breite Erfahrung gesammelt. Meine Forschungsinteressen liegen an der Untersuchung von Vorteilen und Herausforderungen bei der Implementierung von ERP-Systemen in kleineren und mittleren Unternehmen. Ich bin überzeugt, dass die effiziente Nutzung von Informationstechnologien einen wesentlichen Beitrag zur Steigerung von Effizienz und Produktivität in diesen Unternehmen leisten kann. In meinen Arbeiten versuche ich, den praktischen Aspekten dieser Themen gerecht zu werden, indem ich sowohl theoretische Ansätze als auch praktische Beispiele verwende."
68," Name: Prof. Dr. Cornelia Müller
Fachgebiet: Nachhaltiger Tourismus und Regionalentwicklung
Persönliches Statement: In meiner Forschung und Praxis arbeite ich auf dem Feld des nachhaltigen Tourismus sowie der regionalen Entwicklung. Ich bin überzeugt, dass ein nachhaltiges Management von Destinationen entscheidend ist, um die negative Auswirkungen des Tourismus zu minimieren und die positiven Effekte zu maximieren. Meine Arbeit richtet sich insbesondere auf die Förderung der Umweltverträglichkeit, sozialen Wohlstand und wirtschaftlichen Erfolg von Destinationen im nationalen wie internationalen Kontext. Ich bin stolz darauf, dass ich in mehr als 20 Jahren an zahlreichen Projekten und Publikationen mitgewirkt habe, die den Tourismussektor unterstützen und fördern. Ich freue mich auf jede neue Zusammenarbeit und verbinde immer meine Leidenschaft für das Feld des nachhaltigen Tourismus mit dem Wunsch, Lösungen zu finden, die die Welt etwas besser machen."
69," Name: Dr. Maximilian Hartmann
Fachgebiet: Erlebnismarketing im Tourismus, Digitalisierung im Tourismus
Persönliches Statement: Ich habe mehr als 15 Jahre Erfahrung in der Tourismusindustrie und bin Forscher an den Schnittstellen zwischen digitalem Marketing, Erlebnisdesign und Kundenzufriedenheit. Mein persönliches Ziel ist es, Unternehmen im Tourismussektor mit praktikablen Strategien zu unterstützen, die sie auf dem Weg zur erfolgreichen Umsetzung erlebnisorientierter Marketingstrategien befinden. Mit meiner Forschung habe ich erkannt, dass eine hochwertige Kundenbindung und -erfahrung wesentlich für das Wachstum und die Loyalität von Tourismusunternehmen ist, und ich bin bestrebt, dies in meiner Arbeit zu unterstützen."
55," Name: Dr. Maximilian Müller
Fachgebiet: Gamification und Digitalisierung im Freizeitbereich und in sozialen Netzwerken
Persönliches Statement: Als Wissenschaftlicher Betreuer habe ich über viele Jahre Erfahrung mit der Anwendung von Gamification in verschiedenen Bereichen gesammelt. Ich bin fasziniert von der Möglichkeit, Spielelemente für eine verbesserte Nutzerinteraktion einzusetzen und die Teilnahme an Freizeitangeboten und sozialen Netzwerken zu steigern. Meine Arbeit konzentriert sich auf den Einfluss von Gamification auf Motivation, Engagement und Nutzungsdynamiken in diesen Bereichen. Ich glaube, dass Gamification nicht nur Spaß macht, sondern auch tiefgründige Veränderungen in unserer Interaktion mit Technologien bringt. Meine Forschungslaufbahn wurde von der Kombination aus Psychologie und Informatik geprägt und ich bin stolz darauf, dass ich die Möglichkeiten von Gamification im Freizeitbereich und in sozialen Netzwerken weiter erforsche und unterstütze."
66," Name: Dr. Maximilian Schmidt
Fachgebiet: Sportpsychologie und Sportmanagement
Persönliches Statement: Ihr Wissenschaftlicher Betreuer ist der Psychologe Prof. Dr. Maximilian Schmidt, mit einer langjährigen Forschungserfahrung im Bereich des Sports. Seine Arbeit konzentriert sich auf die Untersuchung von psychologischen Aspekten im Sport, einschließlich Motivation und Teamdynamik. Er glaubt, dass eine tiefere Verständnis der psychologischen Faktoren hinter den sportlichen Leistungen zum Wohlbefinden der Athleten sowie zur Steigerung ihrer Leistungsfähigkeit beitragen kann. Prof. Dr. Schmidt ist überzeugt davon, dass die Anwendung psychologischer Kenntnisse und Strategien wichtig für das Erreichen sportlicher Ziele ist."
0," Name: Professor Dr. Johann Müller
Fachgebiet: Digitales Lernen, Pädagogik, Schulbildung
Persönliches Statement: Ich bin seit mehr als 20 Jahren an der Universität tätig und habe während dieser Zeit zahlreiche Forschungsprojekte zum Thema Digitales Lernen durchgeführt. Meine Arbeiten konzentrieren sich auf die Untersuchung des Einflusses von digitalem Lernen auf die Leistungen von Schülern sowie auf die Optimierung von digitalen Lernangeboten im Schulwesen. Ich glaube, dass eine effektive Kombination von analogem und digitalem Lernen zur Entwicklung eines breiten Wissenspektrums beitragen kann. Meine Forschungen werden durch ein umfassendes Verständnis für die Anforderungen und Möglichkeiten des Schulwesens sowie eine tiefe Beachtung der Bedürfnisse von Lehrern und Schülern geprägt. Es ist mein Ziel, das digitale Lernen als zusätzliche Ressource im Schulunterricht zu etablieren, um die Leistungen von Schülern zu verbessern und ihre Chancengleichheit zu fördern."
42," Name: Dr. Johanna Müller
Fachgebiet: Inklusive Bildung, Sozialpädagogik
Persönliches Statement: Als Betreuerin von Bachelorarbeiten im Bereich der inklusiven Bildung habe ich die Möglichkeit gefunden, an der Entwicklung wichtiger Erkenntnisse und Konzepte mitzuwirken. Ich glaube an den Wert einer inklusiven Schule für alle Kinder und jungen Menschen und bin daher besonders stolz darauf, dass ich den Austausch zwischen Forschung und Praxis unterstützen kann. Mein persönliches Ziel ist es, die Chancengleichheit aller Schüler zu fördern und so zur Verwirklichung einer inklusiven Gesellschaft beizutragen. Ich freue mich auf neue Herausforderungen und den Austausch mit zukünftigen Bachelorstudentinnen und -studenten im Fach Inklusive Bildung."
20," Name: Prof. Dr. Johanna Müller-Schulz
Fachgebiet: Pädagogische Psychologie mit Fokus auf Elternbeteiligung am Schulunterricht und Schülermotivation
Persönliches Statement: Ihr Interesse an der Auswirkung von Elternbeteiligung auf das Lernen von Kindern hat sich in meiner bisherigen wissenschaftlichen Karriere immer wieder bestätigt. In mehreren Forschungsprojekten habe ich die Effekte untersucht und empirische Beweise für den positiven Einfluss von Elternbeteiligung auf Schülerleistung und Motivation gefunden. In meiner Bachelorarbeit unterstütze ich daher Schulen und Eltern dabei, ihre Zusammenarbeit zu stärken und dadurch den schulischen Erfolg der Kinder zu fördern."
27," Name: Dr. Max Müller
Fachgebiet: Lebenlanges Lernen und Berufliche Bildung
Persönliches Statement: Als Wissenschaftler in dem Bereich des lebenslangen Lernens bin ich überzeugt von der Notwendigkeit, diese Form des Lernens zu fördern. Meine Arbeit konzentriert sich auf die Untersuchung von verschiedenen Ansätzen zur Förderung des lebenslangen Lernens und zeigt auf, wie es entscheidend für persönliche und berufliche Entwicklung ist. Ich bin davon überzeugt, dass lebenslanges Lernen nicht nur die Anpassungsfähigkeit an sich ständig verändernde Anforderungen befördert, sondern auch eine wichtige Voraussetzung für eine erfolgreiche berufliche Entwicklung ist. Ich bin stolz darauf, dass ich mit meiner Forschung einen Beitrag zur Förderung von Lebenslangem Lernen leisten kann und mache mir durch die Betreuung dieser Arbeiten freue, die potenzielle Wirkung der lebenslangen Lernkonzepte zu fördern."
54," Name: Professor Dr. Maximilian Schmidt
Fachgebiet: E-Learning, Erwachsenenbildung
Persönliches Statement: Als Experte im Bereich E-Learning in der Erwachsenenbildung bin ich seit über 20 Jahren tätig und habe in zahlreichen Veröffentlichungen und Projekten das Potenzial von E-Learning erforscht und evaluiert. Meine Forschungsarbeit konzentriert sich auf die Erkundung der Chancen und Grenzen, die das E-Learning für die Erwachsenenbildung darstellt. Ich bin überzeugt von der Bedeutung des E-Learnings als flexible und ortsunabhängige Lernmöglichkeit für Erwachsene und stehe im Bunde, die Entwicklung und Implementierung von E-Learning-Angeboten in der Erwachsenenbildung zu fördern. Mit meiner Arbeit will ich einen Beitrag zur Verbesserung der Qualität des E-Learnings in der Erwachsenenbildung leisten und die Möglichkeiten für eine flexible und selbstbestimmte Lernweise erschließen."
30," Name: Professor Dr. Max Mustermann
Fachgebiet: Human Resource Management, Personal- und Organisationsentwicklung
Persönliches Statement: In meiner Forschungsfeldarbeit beleuchte ich die Bedeutung von beruflicher Weiterbildung für die Karriereentwicklung von Arbeitnehmern. Ich zeigte durch eine Kombination aus Literaturrecherche und empirischen Studien, dass berufliche Weiterbildung positive E ekte auf die Karrierechancen, die berufliche Zufriedenheit und die Arbeitsplatzsicherheit haben kann. In meinen Untersuchungen untersuche ich verschiedene Formen der beruflichen Weiterbildung, die sich besonders positiv auf die Karriereentwicklung auswirken. Ich gebe Unternehmen und Arbeitnehmer Empfehlungen, wie sie berufliche Weiterbildungsangebote nutzen und fördern können, um die Karriereentwicklung zu unterstützen. Ich bin überzeugt, dass durch berufliche Weiterbildung Arbeitnehmer ihre Fähigkeiten verbessern und ihre Karrierechancen erhöhen können."
53," Name: Professor Dr. Maximilian Schmidt
Fachgebiet: Ethik der künstlichen Intelligenz (KI) und Philosophie
Persönliches Statement: Ihrer Arbeit widmet sich meine Leidenschaft – die ethische Bewertung und Regelung von KI-Technologien. Mein Fachgebiet verbindet theoretische Philosophie mit praktischen Anwendungen, indem ich die Frage der ethischen Implikationen von künstlicher Intelligenz in den Mittelpunkt rückte. Ich glaube fest daran, dass eine verantwortungsvoll und ethisch ausgerichtete Nutzung von KI-Technologien die Grundlage für ein gutes menschliches Zusammenleben im digitalen Zeitalter ist. Meine Forschungen dienen daher dazu, einen besseren Verständnis über die Potenziale und Herausforderungen der KI bei uns zu schaffen, um sie in eine Weise zu verwenden, die unseren Werten und ethischen Prinzipien entspricht."
21," Name: Professor Dr. Johann Bauer
Fachgebiet: Philosophie, insbesondere Ethik im Zusammenhang mit der Nachhaltigkeit und dem Klimaschutz
Persönliches Statement: Als Professor für Philosophie habe ich bereits längere Zeit an den ethischen Implikationen von Themen wie dem Klimawandel gearbeitet. Meine Arbeit konzentriert sich auf die Analyse philosophischer Perspektiven und die Entwicklung von nachhaltigen Umweltpolitiken, um eine nachhaltige Zukunft zu ermöglichen. Ich glaube daran, dass Philosophie für die Lösung globaler Herausforderungen wie den Klimawandel wichtig ist und versuche dies in meiner Forschung zu unterstützen."
18," Name: Prof. Dr. Johann Müller
Fachgebiet: Philosophie des Geistes, Metaphysik, Ethik
Persönliches Statement: Ich bin Philosoph mit Schwerpunkt auf die Untersuchung von Freiheit und Determinismus. In meiner Laufbahn habe ich viele Jahre an der Erforschung dieses philosophischen Problems geworben und versucht, unterschiedliche Ansätze zur Lösung des Dilemmas darzustellen. Es ist für mich eine große Herausforderung, die Verantwortungsfähigkeit und Handlungsfähigkeit des Menschen in einer deterministischen Welt zu vereinbaren. In meiner Arbeit versuche ich, dieses Problem aufzuzeigen und unterschiedliche Lösungsansätze zu diskutieren und deren Implikationen für die Ethik und die Philosophie des Geistes zu analysieren. Ich bin überzeugt, dass diese Untersuchung für eine bessere Verständnis von unserer eigenen Natur und der menschlichen Existenz beitragen wird."
33," Name: Professor Dr. Hans-Jürgen Müller
Fachgebiet: Interreligiöser Dialog und Religionssoziologie
Persönliches Statement: Ich habe meine Karriere im Fachbereich der Interreligiösen Beziehungen und Religionssoziologie gestaltet, indem ich die religiöse Vielfalt und den Dialog zwischen verschiedenen religiösen Gemeinschaften analysiere. In meinen Arbeiten beleuchte ich die Bedeutung des interreligiösen Dialogs für das Verständnis und die Zusammenarbeit zwischen religiösen Gemeinschaften und schlüpfte in den Schuhen verschiedener Religionen, um eine tiefe Einblicke in ihre Kulturen zu erhalten. Mein persönliches Ziel ist es, empirische Forschung und praktische Anwendungen zu verbinden, damit die Erkenntnisse für religiöse Gemeinschaften und politische Entscheidungsträger nutzbar sind, um den interreligiösen Dialog und die religiöse Vielfalt als Bereicherung der Gesellschaft zu fördern."
40," Name: Professor Dr. Friedrich Müller
Fachgebiet: Religionswissenschaft, Soziologie von Religionen
Persönliches Statement: Als langjähriger Professor für Religionswissenschaft habe ich mich spezialisiert auf die Analyse der Rolle und Einflüsse von Religion in der modernen Gesellschaft. Ich bin überzeugt, dass eine umfassende Verständnis dieser Beziehung notwendig ist, um zu verstehen, wie religiöse Werte und Praktiken unsere Gesellschaft prägen und wie wir sie in einer pluralistischen Welt gestalten können. Mein Forschungsinteresse gilt dabei insbesondere der Analyse von moralischen Werten, sozialer Gerechtigkeit und politischer Partizipation im religiösen Kontext. Meine Arbeit beruht auf einer Kombination aus Literaturrecherche und empirischen Studien, um einen objektiven Blick auf die Rolle von Religion in der modernen Gesellschaft zu gewährleisten. Abschließend gebe ich Empfehlungen für die Gestaltung einer pluralistischen Gesellschaft, in der religiöse und säkulare Werte koexistieren."
23," Name: Prof. Dr. Max Mustermann
Fachgebiet: Theologische Ethik, Religionsvergleich, Interreligiöser Dialog
Persönliches Statement: Als langjähriger Forscher im Bereich der Theologischen Ethik und Religionsvergleich habe ich mich speziell auf den interreligiösen Dialog und die Erforschung ethischer Gemeinsamkeiten und Unterschiede in den großen Weltreligionen konzentriert. Meine Forschungen haben gezeigt, dass es trotz unterschiedlicher theologischer Grundlagen viele Gemeinsamkeiten in den ethischen Lehren dieser Religionen gibt. In meiner Arbeit versuche ich diese Erkenntnisse für die Förderung des interreligiösen Dialogs und der globalen Ethik zu nutzen. Ich bin davon überzeugt, dass eine tiefergehende Verständigung zwischen den verschiedenen Religionen wichtig ist, um für ein friedlicheres und gerechteres Zusammenleben beizutragen."
67," Name: Professor Dr. Johann Friedrich Maximilian Schmidt
Fachgebiet: Geschichte der Industriellen Revolution und Internationale Beziehungen des Kalten Krieges
Persönliches Statement: Ich habe über zwei Jahrzehnte lang als Historiker an den Universitäten Berlin und Leipzig gearbeitet. Meine Forschungsschwerpunkte sind die industrielle Revolution sowie die Auswirkungen des Kalten Krieges auf die internationale Politik. In meiner Forschungsarbeit versuche ich, die tiefgreifenden Veränderungen der Gesellschaft und der Wirtschaft während dieser Zeitenphasen zu verstehen und ihre langfristigen Folgen für unsere heutige Zeit zu diskutieren. Meine Arbeitsweise ist charakterisiert durch eine kombinierte Nutzung von Literaturrecherchen und historischen Analysen, um die wirtschaftlichen, sozialen und politischen Veränderungen während dieser Zeitenphasen zu analysieren und zu verstehen. Ich bin überzeugt, dass die Geschichte unsere Gegenwart und Zukunft beeinflusst und daher eine entscheidende Rolle in unserer Gesellschaft spielt."
57," Name: Professor Dr. Hans-Peter Müller
Fachgebiet: Sprachen und Kultur, Sozialwissenschaften
Persönliches Statement: Ich bin überzeugter Anhänger der Vielfalt von Kulturen und Sprachen und glaube an ihre Bedeutung für eine offene, tolerante und vibierende Weltgesellschaft. Durch meine Forschungen in den Bereichen Mehrsprachigkeit, Migration und Interkulturalität versuche ich zu belegen, wie kulturelle Vielfalt eine wertvolle Ressource für Individuen, Gemeinschaften und Gesellschaft ist. Ich bin überzeugt von der Notwendigkeit, politische Entscheidungsträger und soziale Organisationen auf die Bedeutung von Mehrsprachigkeit hinzuweisen, um gesellschaftliche Herausforderungen wie Armut, Sozialausgrenzung und Flucht zu bekämpfen."
61," Name: Professor Dr. Friedrich Meier
Fachgebiet: Sprachentwicklung und Digitale Kommunikation
Persönliches Statement: Als Professor für Sprachentwicklung und Digitale Kommunikation bin ich überzeugt, dass die digitale Kommunikation einen tiefgreifenden Einfluss auf unsere Sprachentwicklung ausübt. Mit meiner Forschung versuche ich diesen Prozess besser zu verstehen und empfehle Lösungen für eine gesunde und vielseitige Sprachausbildung in der digitalen Welt. Meine Arbeiten konzentrieren sich auf Sprachvereinfachung, neue Sprachformen und die Rolle von Emojis im digitalen Kommunikationsprozess. Ich glaube an die Macht des Wissens und sehe meine Aufgabe darin, es in einen praxisrelevanten Kontext zu bringen."
4," Name: Prof. Dr. Johann Müller
Fachgebiet: Soziolinguistik und Kultursoziologie
Persönliches Statement: Als Soziolinguist und Kultursoziologe bin ich fasziniert von der Vielfalt unseres Sprach- und Identitätsbewusstseins in verschiedenen kulturellen Kontexten. In meiner Forschung beleuchte ich die Wechselwirkungen zwischen sprachlicher Vielfalt, kultureller Identität und Globalisierung, um zu verstehen, wie unsere Identitäten sich in der Zeit ändern und welche Auswirkungen sie auf unser Verhalten und auf unsere Gesellschaft haben. Ich glaube, dass die Anerkennung und Förderung der sprachlichen Vielfalt Schlüssel zur kulturellen Toleranz und Integration sind. Es ist mein Ziel, mithilfe meiner Forschungen und meiner Lehre die Aktivitäten und Prozesse zu begleiten, die unser Bewusstsein für die Vielfalt unsers Sprach- und Identitätsbewusstseins erweitern."
72," Name: Dr. Max Mustermann
Fachgebiet: Entwicklungspolitik und Bildungsökonomie
Persönliches Statement: Als Forscher mit einer umfangreichen Erfahrung in der Entwicklungspolitik und Bildungsökonomie, habe ich die Bedeutung von Bildung für Wirtschaftswachstum sowie ihre Auswirkungen auf Kinder und Gesellschaften erforscht. Durch eine interdisziplinäre Analyse von Literatur und empirischen Studien bin ich in der Lage, komplexe Zusammenhänge zu identifizieren und innovative Lösungsansätze für die Verbesserung von Entwicklungsstrategien zu entwickeln. Meine Forschungen sind geprägt durch eine breite Sichtweise auf die sozio-ökonomische Entwicklung, und ich bin in der Lage, ein umfassendes Verständnis von der globalen Perspektive bis hin zur Mikroebene zu gewinnen. Meine Forschungsinteressen reichen vom Kampf gegen Kinderarmut über die Analyse der Auswirkungen von Handelskriegen auf die globale Wirtschaft bis hin zum Verständnis der Bedeutung von Bildung für das langfristige Wirtschaftswachstum. Ich bin davon überzeugt, dass wir durch interdisziplinäre Zusammenarbeit und eine konstruktive Diskussion mit Entscheidungsträgern die Lösungen finden können, um die Welt zu einem besseren Ort zu machen."
8," Name: Prof. Dr. Maximilian Müller
Fachgebiet: Kommunikation und Medienwissenschaft
Persönliches Statement: Ich habe für mehr als zwei Jahrzehnte in der Kommunikations- und Medienwissenschaft forschungsfächerlich tätig gewesen, mit dem Schwerpunkt auf den Einfluss von Medien auf die öffentliche Meinungsbildung. In meinen Arbeiten habe ich besondere Beachtung der Rolle verschiedener Medientypen und ihrer Berichterstattung sowie die Auswirkungen auf die öffentliche Wahrnehmung bestimmter Themen wie Klimawandel oder Kriminalität gezeigt. Meine Forschung beruht dabei auf einer Kombination aus Literaturrecherche und empirischen Studien, um einen ausgewogenen Blick zu erhalten und sachlich zu beurteilen. Ich bin überzeugt davon, dass eine faktenbasierte Berichterstattung in den Medien zur Verbesserung der öffentlichen Wahrnehmung von wichtigen Themen beiträgt und die Handlungsbereitschaft fördert."
71," Name: Professor Dr. Dietrich Müller-Schmidt
Fachgebiet: Ethik und Sozialwissenschaften, speziell in Bezug auf Kriminalität und Kriminalitätsprävention
Persönliches Statement: Ich bin seit mehr als dreißig Jahren im Feld der Kriminologie und Sozialethik tätig. Meine Forschung konzentriert sich darauf, die ethischen Herausforderungen in der Kriminalitätsprävention zu identifizieren und zu diskutieren. Ich glaube fest daran, dass wir nicht nur effektive Präventionsstrategien entwickeln müssen, sondern auch ihre ethische Verantwortung berücksichtigen sollten. Mit meiner Arbeit will ich einen Beitrag zur Verbesserung der Verhältnisse liefern und dazu beitragen, eine kriminalitätsarmere Gesellschaft zu schaffen, die für alle gleiche Rechte garantiert wird."
58," Name: Prof. Dr. Max Müller
Fachgebiet: Unternehmensethik und CSR (Corporate Social Responsibility)
Persönliches Statement: Ich bin derzeit Professor an der Fakultät für Wirtschaftswissenschaften und habe mehr als zwei Jahrzehnte im Bereich Unternehmensethik geforscht. In meiner Arbeit versuche ich, Unternehmen dabei zu unterstützen, ihre ethische Verantwortung wahrzunehmen und nachhaltige Geschäftsstrategien zu entwickeln. Ich glaube, dass die Unternehmensethik nicht nur für den Erfolg von Unternehmen entscheidend ist, sondern auch für eine gesellschaftlich verantwortungsvolle Wirtschaft. Meine Forschungen sind geprägt vom Gedanken der Verbindung von wirtschaftlichem Erfolg und sozialem Engagement."
34," Name: Dr. Johanna Müller-Stern
Fachgebiet: Marketing von kulturellen Veranstaltungen und Kulturmanagement
Persönliches Statement: Mit langjähriger Erfahrung im Bereich des Marketing und Kulturmanagements habe ich eine besondere Leidenschaft für die Vermarktung kultureller Veranstaltungen entwickelt. Ich glaube, dass durch effektive Marketingstrategien die Attraktivität und Reichweite von kulturellen Projekten erhöht werden kann, was sowohl den Erfolg als auch das Befassen bleiben der Zielgruppen fördert. Mein persönliches Anliegen ist es, Kulturmanager und Veranstalter dabei zu unterstützen, ihre Projekte erfolgreich zu etablieren und ihre Leidenschaft für die Kultur zu teilen."
31," Name: Professor Dr. Johann Friedrich von Stahlberg
Fachgebiet: Kunstgeschichte, spezialisiert auf Mittelalter, Renaissance und Kolonialzeit
Persönliches Statement: Ihre Arbeit zeigt meinen Studierenden die wichtige Rolle, die Religion in der Entwicklung der mittelalterlichen Kunst gespielt hat. Wir untersuchen nicht nur Themen und Motive, sondern auch die Techniken und Ästhetik dieser Epoche. Es ist bemerkenswert zu sehen, wie sich die Religion auf das künstlerische Ausdrucksvermögen auswirkte und wie sie für die europäische Kunstgeschichte prägend wurde. Meine Leidenschaft für die Kunst der Renaissance und die Kolonialzeit führt mich bei der Betreuung dieser Arbeiten nicht nur zu tiefgreifenden Erkenntnissen, sondern auch zur Förderung der kritischen Analyse von Kunstwerken. In unseren Unterrichtsstunden werden diese Themen nicht nur theoretisch erläutert, sondern auch durch den Umgang mit ursprünglichen Werken und Feldstudien vermittelt. Die ethischen Implikationen der kolonialen Kunst und ihre Relevanz für die heutige Kunstgeschichte werden ebenso diskutiert wie die langfristigen Auswirkungen der Renaissance auf die moderne Kunst und deren Relevanz für heutige Künstler und Kunsttheoretiker."
56," Name: Professor Dr. Maximilian Schmidt
Fachgebiet: Digitale Medien und Bildende Kunst
Persönliches Statement: Ich bin Spezialist für digitale Medien und ihre Anwendung in der bildenden Kunst. Mit meiner langjährigen Erfahrung und Forschungsarbeit habe ich ein tiefes Verständnis für die kreativen Möglichkeiten, aber auch die Herausforderungen, die durch digitale Technologien im Bereich der Kunst entstehen können. Mein persönliches Ziel ist es, den Austausch zwischen Künstlern und Wissenschaftlern zu fördern und dabei jenen Beitrag zu leisten, dass sie ihre kreative Arbeit mit modernen Medien erfolgreich verbinden und die damit verbundenen Probleme bewältigen können."
70," Name: Dr. Maximilian Richter
Fachgebiet: Politische Kommunikation, Politische Ideologien, Medienwissenschaft
Persönliches Statement: Ich bin ein anerkannter Forscher in der Politischen Kommunikation und der Medienwissenschaft. Mit meinem wissenschaftlichen Hintergrund verfolge ich die Vision, eine tiefergehende Verständnis für die Rolle von Kunst in politischer Propaganda zu fördern. Meine Forschung fokussiert auf das Potenzial der Kunst als Mittel zur Beeinflussung der öffentlichen Meinung und zur Förderung politischer Ideologien. Ich glaube, dass es wichtig ist, die ethischen Implikationen der Nutzung von Kunst für politische Zwecke zu diskutieren und Empfehlungen für eine kritische Auseinandersetzung mit Propagandakunst zu geben. Meine Forschungsarbeiten haben gezeigt, dass unsere Gesellschaft auf die Weise wie wir uns umgehen mit Kunst, entscheidende Einflüsse auf unsere politischen Ideen und Werte ausüben können."
63," Name: Prof. Dr. Max Mustermann
Fachgebiet: Datenschutz und IT-Sicherheit
Persönliches Statement: Als Forscher für Datenschutz und IT-Sicherheit habe ich mehr als 20 Jahre Erfahrung in der Analyse von Gesetzen und ihren Auswirkungen auf Unternehmen. In meiner Forschungsarbeit bin ich dem Schutz persönlicher Daten sowie der Sicherheit digitaler Infrastrukturen verpflichtet. Ich glaube an die Kombination von Regelung und Technologie, um effektive Lösungen für die Herausforderungen des digitalen Zeitalters zu finden."
37," Name: Professor Dr. Maximilian Schmidt
Fachgebiet: Ethik in der Informatik und IT-Sicherheit
Persönliches Statement: Als Wissenschaftler in den Feldern der Informatikethik und IT-Sicherheit bin ich bestrebt, die ethischen Herausforderungen, die sich im Zusammenhang mit IT-Sicherheitsmaßnahmen ergeben, zu verstehen und zu lösen. Ich bin davon überzeugt, dass ein verantwortungsvolles Vorgehen bei der Gestaltung und Umsetzung von IT-Sicherheitsstrategien notwendig ist, um die Balance zwischen Sicherheit und Freiheit einzustreben. In meiner Forschungsarbeit konzentriere ich mich auf die Analyse verschiedener ethischer Fragen im Bereich der IT-Sicherheit sowie auf die Entwicklung von Empfehlungen für Unternehmen und politische Entscheidungsträger, um eine verantwortungsvolle IT-Sicherheit zu fördern. Ich glaube, dass es wichtig ist, den Dialog über ethische Fragen in der IT-Sicherheit aufrechtzuerhalten und dass die Forschung einen entscheidenden Beitrag dazu leisten kann, ein besseres Verständnis von diesen Herausforderungen zu entwickeln."
47," Name: Professor Dr. Johannes Müller
Fachgebiet: Biotechnologie und Gen-Editing, speziell Anwendungen in der Landwirtschaft
Persönliches Statement: Als Experte für Biotechnologie und Gen-Editing habe ich mich in den letzten Jahren auf die Verwendung dieser Technologien in der Landwirtschaft konzentriert. Meine Forschung zielt darauf ab, die Potenziale von Gen-Editing bei der Pflanzen- und Tierzucht zu erforschen und zu optimieren, um so die Ernteerträge, die Krankheitsresistenz und die Umweltverträglichkeit landwirtschaftlicher Produkte zu verbessern. Zugleich betrachte ich es als wichtig, ethische und regulatorische Herausforderungen in Bezug auf Gen-Editing im Landbau zu berücksichtigen und darauf hinzuwirken, dass die Technologie mit Vorsicht und Responsibilität verwendet wird. In meiner Bachelorarbeit beleuchten wir verschiedene Anwendungsmöglichkeiten von Gen-Editing in der Landwirtschaft und zeigen, wie es zu einer effizienteren und nachhaltigeren landwirtschaftlichen Produktion führen kann."
46," Name: Prof. Dr. Alexander Müller-Thomas
Fachgebiet: Biodiversität und Klimawandel, besonders im Hinblick auf Meeresökosysteme
Persönliches Statement: Als langjähriger Forscher des Klimawandels und der daraus resultierenden Auswirkungen auf die Biodiversität habe ich ein großes Interesse an den marinen Ökosystemen. Mithilfe meiner Erfahrung mit der Literaturrecherche und empirischen Studien versuche ich, die negativen Eindrücke des Klimawandels auf diese Ökosysteme und ihre Biodiversität zu minimieren. Ich bin überzeugt, dass wir unsere natürlichen Ressourcen schützen müssen, um den Klimawandel effektiv bekämpfen und die Zukunft unserer Planeten sicherstellen können."
44," Name: Dr. Maximilian Müller
Fachgebiet: Nachhaltige Ressourcen- und Umweltmanagement
Persönliches Statement: Durch meine Arbeit an der Bachelorarbeit zur nachhaltigen Nutzung von natürlichen Ressourcen habe ich mein Interesse für den Schutz unseres Planeten und die Entwicklung nachhaltiger Lösungen festgelegt. Ich bin überzeugt, dass wir als Menschheit in unseren Entscheidungen über Ressourcennutzung und Umweltschutz entscheidende Veränderungen auslösen können. Meine Forschungen konzentrieren sich auf die Entwicklung von Konzepten und Strategien zur nachhaltigen Nutzung natürlicher Ressourcen, sowohl in urbanen als auch in ländlichen Gebieten. Ich bin überzeugt davon, dass wir gemeinsam für eine bessere Zukunft arbeiten können und freue mich darauf, weitere Bachelorarbeiten im Bereich nachhaltige Ressourcen- und Umweltmanagement betreuen zu können."
